1400
174,86400
252,200,1000,-37699.9623,21999.991199999,40
253,200,1000,-37899.9621,21999.991199999,38
254,200,1000,-38099.9619,21999.991199999,35
255,200,1000,-38299.9617,21999.991199999,37
256,200,1000,-38499.9615,21999.991199999,39
257,200,1000,-38699.9613,21999.991199999,13
258,200,1000,-15099.9849,22999.990799999,55
259,200,1000,-15299.9847,22999.990799999,113
260,200,1000,-15499.9845,22999.990799999,73
261,200,1000,-15699.9843,22999.990799999,64
262,200,1000,-15899.9841,22999.990799999,81
263,200,1000,-16099.9839,22999.990799999,20
264,200,1000,-16299.9837,22999.990799999,17
265,200,1000,-16499.9835,22999.990799999,18
266,200,1000,-16999.983,22999.990799999,6
267,200,1000,-18599.9814,22999.990799999,34
268,200,1000,-18799.9812,22999.990799999,42
269,200,1000,-18999.981,22999.990799999,53
270,200,1000,-19199.9808,22999.990799999,70
271,200,1000,-19399.9806,22999.990799999,86
272,200,1000,-19599.9804,22999.990799999,79
273,200,1000,-19799.9802,22999.990799999,73
274,200,1000,-19999.98,22999.990799999,58
275,200,1000,-20199.9798,22999.990799999,26
276,200,1000,-20399.9796,22999.990799999,57
277,200,1000,-20599.9794,22999.990799999,91
278,200,1000,-20799.9792,22999.990799999,66
279,200,1000,-20999.979,22999.990799999,20
280,200,1000,-22599.9774,22999.990799999,18
281,200,1000,-22799.9772,22999.990799999,8
282,200,1000,-27199.9728,22999.990799999,15
283,200,1000,-27399.9726,22999.990799999,65
284,200,1000,-27599.9724,22999.990799999,35
285,200,1000,-38799.9612,22999.990799999,20
286,200,1000,-38999.961,22999.990799999,34
287,200,1000,-44799.9552,22999.990799999,15
288,200,1000,-44999.955,22999.990799999,11
289,200,1000,-45199.9548,22999.990799999,10
290,200,1000,-10299.9897,23999.9904,1
291,200,1000,-14999.985,23999.9904,25
292,200,1000,-15199.9848,23999.9904,68
293,200,1000,-15399.9846,23999.9904,95
294,200,1000,-15599.9844,23999.9904,113
295,200,1000,-15799.9842,23999.9904,101
296,200,1000,-20999.979,23999.9904,14
297,200,1000,-21799.9782,23999.9904,26
298,200,1000,-21999.978,23999.9904,47
299,200,1000,-22199.9778,23999.9904,22
300,200,1000,-24699.9753,23999.9904,10
301,200,1000,-24899.9751,23999.9904,36
302,200,1000,-25099.9749,23999.9904,48
303,200,1000,-25299.9747,23999.9904,61
304,200,1000,-25499.9745,23999.9904,60
305,200,1000,-25699.9743,23999.9904,51
306,200,1000,-25899.9741,23999.9904,35
307,200,1000,-26099.9739,23999.9904,13
308,200,1000,-39199.9608,23999.9904,30
309,200,1000,-41499.9585,23999.9904,7
310,200,1000,-45599.9544,23999.9904,18
311,200,1000,-45799.9542,23999.9904,13
312,200,1000,-10899.9891,24999.99,43
313,200,1000,-11099.9889,24999.99,40
314,200,1000,-14199.9858,24999.99,5
315,200,1000,-14399.9856,24999.99,49
316,200,1000,-14599.9854,24999.99,52
317,200,1000,-14799.9852,24999.99,97
318,200,1000,-14999.985,24999.99,91
319,200,1000,-15199.9848,24999.99,90
320,200,1000,-15399.9846,24999.99,111
321,200,1000,-15599.9844,24999.99,113
322,200,1000,-15799.9842,24999.99,113
323,200,1000,-15999.984,24999.99,113
324,200,1000,-16199.9838,24999.99,101
325,200,1000,-16399.9836,24999.99,3
326,200,1000,-46899.9531,24999.99,9
327,200,1000,-10799.9892,25999.9896,5
328,200,1000,-10999.989,25999.9896,22
329,200,1000,-11199.9888,25999.9896,19
330,200,1000,-11399.9886,25999.9896,20
331,200,1000,-11599.9884,25999.9896,61
332,200,1000,-11799.9882,25999.9896,70
333,200,1000,-11999.988,25999.9896,63
334,200,1000,-12199.9878,25999.9896,62
335,200,1000,-12399.9876,25999.9896,66
336,200,1000,-12599.9874,25999.9896,34
337,200,1000,-12799.9872,25999.9896,79
338,200,1000,-12999.987,25999.9896,64
339,200,1000,-13799.9862,25999.9896,26
340,200,1000,-13999.986,25999.9896,28
341,200,1000,-15199.9848,25999.9896,36
342,200,1000,-15399.9846,25999.9896,100
343,200,1000,-15599.9844,25999.9896,113
344,200,1000,-15799.9842,25999.9896,113
345,200,1000,-15999.984,25999.9896,113
346,200,1000,-16199.9838,25999.9896,78
347,200,1000,-10899.9891,26999.9892,2
348,200,1000,-11099.9889,26999.9892,26
349,200,1000,-11299.9887,26999.9892,27
350,200,1000,-11499.9885,26999.9892,40
351,200,1000,-11699.9883,26999.9892,68
352,200,1000,-11899.9881,26999.9892,52
353,200,1000,-15699.9843,26999.9892,59
354,200,1000,-15899.9841,26999.9892,113
355,200,1000,-16099.9839,26999.9892,113
356,200,1000,-16299.9837,26999.9892,113
357,200,1000,-16499.9835,26999.9892,109
358,200,1000,-16699.9833,26999.9892,84
359,200,1000,-16899.9831,26999.9892,38
360,200,1000,-11099.9889,27999.9888,5
361,200,1000,-11299.9887,27999.9888,37
362,200,1000,-11499.9885,27999.9888,59
363,200,1000,-11699.9883,27999.9888,47
364,200,1000,-16299.9837,27999.9888,9
365,200,1000,-16499.9835,27999.9888,96
366,200,1000,-16699.9833,27999.9888,113
367,200,1000,-16899.9831,27999.9888,113
368,200,1000,-17099.9829,27999.9888,113
369,200,1000,-17299.9827,27999.9888,113
370,200,1000,-17499.9825,27999.9888,110
371,200,1000,-17699.9823,27999.9888,82
372,200,1000,-17899.9821,27999.9888,57
373,200,1000,-11099.9889,28999.988399999,10
374,200,1000,-11299.9887,28999.988399999,49
375,200,1000,-11499.9885,28999.988399999,6
376,200,1000,-15299.9847,28999.988399999,29
377,200,1000,-15499.9845,28999.988399999,36
378,200,1000,-15699.9843,28999.988399999,50
379,200,1000,-15899.9841,28999.988399999,12
380,200,1000,-17499.9825,28999.988399999,12
381,200,1000,-17699.9823,28999.988399999,42
382,200,1000,-17899.9821,28999.988399999,107
383,200,1000,-18099.9819,28999.988399999,113
384,200,1000,-18299.9817,28999.988399999,112
385,200,1000,-18499.9815,28999.988399999,101
386,200,1000,-18699.9813,28999.988399999,61
387,200,1000,-18899.9811,28999.988399999,12
388,200,1000,-21999.978,28999.988399999,22
389,200,1000,-10599.9894,29999.987999999,7
390,200,1000,-10799.9892,29999.987999999,29
391,200,1000,-11099.9889,29999.987999999,4
392,200,1000,-18499.9815,29999.987999999,70
393,200,1000,-18699.9813,29999.987999999,111
394,200,1000,-18899.9811,29999.987999999,113
395,200,1000,-19099.9809,29999.987999999,113
396,200,1000,-19299.9807,29999.987999999,113
397,200,1000,-19499.9805,29999.987999999,111
398,200,1000,-19699.9803,29999.987999999,76
399,200,1000,-19899.9801,29999.987999999,80
400,200,1000,-20099.9799,29999.987999999,59
401,200,1000,-20299.9797,29999.987999999,28
402,200,1000,-20499.9795,29999.987999999,16
403,200,1000,-20699.9793,29999.987999999,36
404,200,1000,-20899.9791,29999.987999999,58
405,200,1000,-21099.9789,29999.987999999,74
406,200,1000,-21299.9787,29999.987999999,52
407,200,1000,-22599.9774,29999.987999999,15
408,200,1000,-22799.9772,29999.987999999,52
409,200,1000,-22999.977,29999.987999999,71
410,200,1000,-23199.9768,29999.987999999,70
411,200,1000,-23399.9766,29999.987999999,60
412,200,1000,-23599.9764,29999.987999999,57
413,200,1000,-23799.9762,29999.987999999,53
414,200,1000,-23999.976,29999.987999999,54
415,200,1000,-24199.9758,29999.987999999,51
416,200,1000,-24399.9756,29999.987999999,13
417,200,1000,-25299.9747,29999.987999999,8
418,200,1000,-25499.9745,29999.987999999,15
419,200,1000,-27299.9727,29999.987999999,13
420,200,1000,-27499.9725,29999.987999999,25
421,200,1000,-27699.9723,29999.987999999,12
422,200,1000,-10699.9893,30999.9876,13
